Title,Movie Info,Distributor,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,Movie Runtime,License,Release Year
,"Raised as an over-sized elf, a human travels from the North Pole to NYC to meet his biological father who doesn't know he exists and is in desperate need of some Christmas spirit.",New Line Cinema,"November 7, 2003",176630408,47223328,223853736,adventure comedy family fantasy romance,1 hr 37 min,PG,Elf
The Karat,"Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.",Sony Pictures Entertainment (SPE),"June 10, 2010",176591618,182534404,359126022,action drama family sport,2 hr 20 min,PG, Kid
There's Something About,"A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster.",Twentieth Century Fox,"July 15, 1998",176484651,193400000,369884651,comedy romance,1 hr 59 min,R,Mary
Ic,"The story revolves around sub-zero heroes: a woolly mammoth, a saber-toothed tiger, a sloth and a prehistoric combination of a squirrel and rat, known as Scrat.",Twentieth Century Fox,"March 14, 2002",176387405,206869731,383257136,adventure animation comedy family,1 hr 21 min,PG, Age
The Bourne Supr,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",Universal Pictures,"July 23, 2004",176241941,114593328,290835269,action mystery thriller,1 hr 48 min,PG-13,macy
The Lego Batman ,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.",Warner Bros.,"February 2, 2017",175750384,136200000,311950384,action adventure animation comedy family fantasy scifi,1 hr 44 min,PG,ovie
,A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.,Universal Pictures,"March 20, 2019",175084580,80100902,255185482,horror mystery thriller,1 hr 56 min,R,Us
The Boss,"A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.",Twentieth Century Fox,,175003033,352962903,527965936,adventure animation comedy family fantasy,1 hr 37 min,,Baby
Crazy Rich A,"This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.",Warner Bros.,"August 15, 2018",174532921,64006277,238539198,comedy drama romance,2 hr,PG-13,ians
The Greatest Sh,Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.,Twentieth Century Fox,"December 20, 2017",174340174,262609460,436949634,biography drama musical,1 hr 45 min,PG,wman
Fast & Furious Presents: Hobbs &,"Lawman Luke Hobbs (Dwayne ""The Rock"" Johnson) and outcast Deckard Shaw (Jason Statham) form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity.",Universal Pictures,"July 1, 2019",173956935,585100000,759056935,action adventure thriller,2 hr 17 min,,Shaw
Apol,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,Universal Pictures,,173837933,181077570,355237933,adventure drama history,2 hr 20 min,,o 13
Home Alone 2: Lost in New,"One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind.",Twentieth Century Fox,,173585516,185409334,358994850,adventure comedy crime family,2 hr,,York
National Tre,A historian races to find the legendary Templar Treasure before a team of mercenaries.,Walt Disney Studios Motion Pictures,"November 19, 2004",173008894,174503424,347512318,action adventure mystery thriller,2 hr 11 min,PG,sure
F9: The Fast,Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,Universal Pictures,,173005945,553223556,726229501,action crime thriller,2 hr 23 min,,Saga
Air Forc,"Communist Radicals hijack Air Force One with The U.S. President and his family on board. The Vice President negotiates from Washington D.C., while the President, a Veteran, fights to rescue the hostages on board.",Sony Pictures Entertainment (SPE),"July 25, 1997",172956409,142200000,315156409,action drama thriller,2 hr 4 min,R, One
Rai,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.",Metro-Goldwyn-Mayer (MGM),"December 16, 1988",172825435,182000000,354825435,drama,2 hr 13 min,, Man
Pirates of the Caribbean: Dead Men Tell No ,Captain Jack Sparrow is pursued by old rival Captain Salazar and a crew of deadly ghosts who have escaped from the Devil's Triangle. They're determined to kill every pirate at sea...notably Jack.,Walt Disney Studios Motion Pictures,"May 24, 2017",172558876,622322566,794881442,action adventure fantasy,2 hr 9 min,PG-13,ales
TRON: L,The son of a virtual world designer goes looking for his father and ends up inside the digital world that his father designed. He meets his father's corrupted creation and a unique ally who was born inside the digital world.,Walt Disney Studios Motion Pictures,"December 16, 2010",172062763,228001089,400063852,action adventure scifi,2 hr 5 min,PG,gacy
Mary Poppins Re,"A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives.",Walt Disney Studios Motion Pictures,"December 19, 2018",171958438,177587704,349546142,adventure comedy family fantasy musical,2 hr 10 min,PG,urns
The M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",Warner Bros.,"March 31, 1999",171479930,295145800,466625730,action scifi,2 hr 16 min,R,trix
True,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,Paramount Pictures,"December 22, 2010",171243005,81033922,252276927,drama western,1 hr 50 min,PG-13,Grit
T,A man raised by gorillas must decide where he really belongs when he discovers he is a human.,Walt Disney Studios Motion Pictures,"June 16, 1999",171091819,277100000,448191819,adventure animation comedy drama family music,1 hr 28 min,G,rzan
John Wick: Chapter 3 - Parab,"John Wick is on the run after killing a member of the international assassins' guild, and with a $14 million price tag on his head, he is the target of hit men and women everywhere.",Lionsgate,"May 15, 2019",171015687,156266092,327281779,action crime thriller,2 hr 10 min,R,llum
A Beautiful,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",Universal Pictures,"December 21, 2001",170742341,146048916,316791257,biography drama,2 hr 15 min,PG-13,Mind
Ch,"Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention.",Miramax,"February 26, 2002",170687518,136089214,306776732,comedy crime musical,1 hr 53 min,PG-13,cago
The,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",Walt Disney Studios Motion Pictures,"August 10, 2011",169708112,46931000,216639112,drama,2 hr 26 min,PG-13,Help
Hotel Transylva,"Dracula and his friends try to bring out the monster in his half human, half vampire grandson in order to keep Mavis from leaving the hotel.",Sony Pictures Entertainment (SPE),"September 21, 2015",169700110,305486596,475186706,adventure animation comedy family fantasy horror,1 hr 29 min,PG,ia 2
Hidden Fi,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,Twentieth Century Fox,"December 25, 2016",169607287,66349611,235956898,biography drama history,2 hr 7 min,PG,ures
Brides,"Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.",Universal Pictures,"May 12, 2011",169106725,119276798,288383523,comedy romance,2 hr 5 min,R,aids
Quantum of S,James Bond descends into mystery as he tries to stop a mysterious organisation from eliminating a country's most valuable resource.,Sony Pictures Entertainment (SPE),"October 31, 2008",168368427,421212055,589580482,action adventure thriller,1 hr 46 min,PG-13,lace
Wild,"A group of suburban biker wannabes looking for adventure hit the open road, but get more than they bargained for when they encounter a New Mexico gang called the Del Fuegos.",Walt Disney Studios Motion Pictures,,168273550,85351877,253625427,action adventure comedy,1 hr 40 min,,Hogs
Kong: Skull I,"After the Vietnam war, a team of scientists explores an uncharted island in the Pacific, venturing into the domain of the mighty Kong, and must fight to escape a primal Eden.",Warner Bros.,"March 8, 2017",168052812,398600000,566652812,action adventure fantasy scifi,1 hr 58 min,PG-13,land
Three Men and a,Three bachelors find themselves forced to take care of a baby left by one of the guys' girlfriends.,Walt Disney Studios Motion Pictures,"November 25, 1987",167780960,167780960,167780960,comedy drama family,1 hr 42 min,,Baby
Gone,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",Twentieth Century Fox,"October 2, 2014",167767189,201563174,369330363,drama mystery thriller,2 hr 29 min,R,Girl
Hotel Transylvania 3: Summer Vac,"Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.",Sony Pictures Entertainment (SPE),"June 28, 2018",167510016,361073758,528583774,adventure animation comedy family fantasy horror,1 hr 37 min,PG,tion
Casino R,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",Sony Pictures Entertainment (SPE),"November 15, 2006",167445960,449056952,616502912,action adventure thriller,2 hr 24 min,PG-13,yale
Meet the Pa,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.",Universal Pictures,"October 6, 2000",166244045,164200000,330444045,comedy romance,1 hr 48 min,PG-13,ents
Fifty Shades of,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",Universal Pictures,"February 11, 2015",166167230,403484237,569651467,drama romance thriller,2 hr 5 min,R,Grey
