Title,Imdb,Letterboxd,Rateyourmusic,,,,,,,
Django Unchained (2012),8.4,4.2,3.73,,,,,,,
A Bug's Life (1998),7.2,3.43,3.04,,,,,,,
Jason Bourne (2016),6.6,2.87,2.62,,,,,,,
Grown Ups (2010),5.9,2.83,1.72,,,,,,,
The Waterboy (1998),6.1,2.87,2.36,,,,,,,
Ice Age: Continental Drift (2012),6.5,2.67,2.2,,,,,,,
Straight Outta Compton (2015),7.8,3.7,3.33,,,,,,,
Die Another Day (2002),6.1,2.42,2.12,,,,,,,
Shark Tale (2004),6,2.73,1.84,,,,,,,
How to Train Your Dragon: The Hidden World (2019),7.4,3.67,3.1,,,,,,,
No Time to Die (2021),7.3,3.51,3.06,,,,,,,
A Quiet Place Part II (2020),7.2,3.53,3,,,,,,,
The Heat (2013),6.6,3.04,2.65,,,,,,,
Fantastic Beasts: The Crimes of Grindelwald (2018),6.5,2.67,2.22,,,,,,,
Halloween (2018),6.5,3.29,2.86,,,,,,,
1917 (2019),8.2,4.09,3.54,,,,,,,
The Secret Life of Pets 2 (2019),6.4,2.7,2.43,,,,,,,
Star Trek Beyond (2016),7,3.27,2.88,,,,,,,
The Firm (1993),6.8,3.32,2.92,,,,,,,
The Longest Yard (2005),6.4,2.92,2.18,,,,,,,
X-Men (2000),7.3,3.32,2.87,,,,,,,
Scary Movie (2000),6.2,3,2.43,,,,,,,
Who Framed Roger Rabbit (1988),7.7,3.9,3.63,,,,,,,
What Lies Beneath (2000),6.6,3.09,2.58,,,,,,,
X-Men: Apocalypse (2016),6.9,2.64,2.49,,,,,,,
The Mummy (1999),7.1,3.47,2.73,,,,,,,
Snow White and the Huntsman (2012),6.1,2.55,2.31,,,,,,,
San Andreas (2015),6.1,2.51,2.09,,,,,,,
Fast & Furious (2009),6.5,2.86,2.21,,,,,,,
Over the Hedge (2006),6.7,3.12,2.63,,,,,,,
Fantastic Four (2005),5.7,2.41,1.78,,,,,,,
Horton Hears a Who! (2008),6.8,2.94,2.56,,,,,,,
Mad Max: Fury Road (2015),8.1,4.13,3.77,,,,,,,
Jerry Maguire (1996),7.3,3.53,2.85,,,,,,,
Trolls (2016),6.4,2.69,2.16,,,,,,,
Scooby-Doo (2002),5.2,3.25,1.96,,,,,,,
Cars 3 (2017),6.7,2.95,2.62,,,,,,,
Sex and the City (2008),5.7,2.94,1.76,,,,,,,
Runaway Bride (1999),5.6,2.79,1.77,,,,,,,
La La Land (2016),8,3.99,3.54,,,,,,,
Divergent (2014),6.6,2.85,2.19,,,,,,,
We're the Millers (2013),7,3.23,2.64,,,,,,,
Terminator 3: Rise of the Machines (2003),6.3,2.63,2.4,,,,,,,
Daddy's Home (2015),6.1,2.65,2.3,,,,,,,
G.I. Joe: The Rise of Cobra (2009),5.7,2.25,1.87,,,,,,,
Neighbors (2014),6.3,2.91,2.55,,,,,,,
American Hustle (2013),7.2,3.28,3.1,,,,,,,
Puss in Boots (2011),6.6,3.07,2.68,,,,,,,
Sonic the Hedgehog (2020),6.5,2.93,2.53,,,,,,,
Les Mis̩rables (2012),7.5,3.54,2.79,,,,,,,
Knocked Up (2007),6.9,3.1,2.95,,,,,,,
As Good as It Gets (1997),7.7,3.55,3.24,,,,,,,
Little Fockers (2010),5.5,2.35,1.86,,,,,,,
Megamind (2010),7.3,3.65,3.18,,,,,,,
Hotel Transylvania (2012),7,3.21,2.67,,,,,,,
Talladega Nights: The Ballad of Ricky Bobby (2006),6.6,3.29,2.82,,,,,,,
Gran Torino (2008),8.1,3.72,3.56,,,,,,,
Lethal Weapon 2 (1989),7.2,3.53,3.18,,,,,,,
War for the Planet of the Apes (2017),7.4,3.68,3.24,,,,,,,
X-Men: First Class (2011),7.7,3.55,3.19,,,,,,,
Paul Blart: Mall Cop (2009),5.2,2.3,1.8,,,,,,,
True Lies (1994),7.3,3.53,3.05,,,,,,,
Lilo & Stitch (2002),7.3,3.94,3.21,,,,,,,
The Santa Clause (1994),6.5,3.13,2.42,,,,,,,
The Meg (2018),5.6,2.41,2.09,,,,,,,
American Pie 2 (2001),6.4,2.86,2.28,,,,,,,
Taken (2008),7.8,3.41,2.96,,,,,,,
The Great Gatsby (2013),7.2,3.38,2.61,,,,,,,
"I, Robot (2004)",7.1,3.07,2.55,,,,,,,
Lethal Weapon 3 (1992),6.7,3.14,2.83,,,,,,,
The Fast and the Furious (2001),6.8,3.26,2.33,,,,,,,
Mamma Mia! (2008),6.5,3.75,2.13,,,,,,,
Doctor Dolittle (1998),5.4,2.49,2.58,,,,,,,
Pok̩mon Detective Pikachu (2019),6.5,3.09,2.73,,,,,,,
Rio (2011),6.9,3.21,2.6,,,,,,,
Kung Fu Panda 3 (2016),7.1,3.23,2.81,,,,,,,
Juno (2007),7.5,3.74,3.09,,,,,,,
Marley & Me (2008),7,3.27,2.52,,,,,,,
The Smurfs (2011),5.4,2.25,1.55,,,,,,,
Once Upon a Time... In Hollywood (2019),7.6,3.77,3.63,,,,,,,
xXx (2002),5.8,2.49,1.85,,,,,,,
The Chronicles of Narnia: Prince Caspian (2008),6.5,3.02,2.46,,,,,,,
Pocahontas (1995),6.7,3.2,2.53,,,,,,,
A Few Good Men (1992),7.7,3.87,3.17,,,,,,,
Slumdog Millionaire (2008),8,3.79,3.09,,,,,,,
Rush Hour (1998),7,3.45,2.87,,,,,,,
The Blair Witch Project (1999),6.5,3.33,3.19,,,,,,,
